Sigla Empresa,Nombre,Fecha,A¤o,N£mero de Mes,Origen,Nombre.1,Ciudad Origen,Pais Origen,Destino,Nombre.2,Ciudad Destino,Pais Destino,Tr fico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg),Tr fico (N/I) 2,Tipo Vuelo 2,Tipo Vuelo (Regular - No Regular),Mes
0EC,SAE,3/1/2025,2025,3,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0,5,Nacional,Aerotaxi,No Regular,marzo
0EC,SAE,3/1/2025,2025,3,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,PUR,PUERTO ARICA,LETICIA,COLOMBIA,N,T,1,5,Nacional,Aerotaxi,No Regular,marzo
0EC,SAE,3/1/2025,2025,3,PCE,CUMARIBO,PUERTO CARRE¥O,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,26,115,Nacional,Aerotaxi,No Regular,marzo
0EC,SAE,3/1/2025,2025,3,PUR,PUERTO ARICA,LETICIA,COLOMBIA,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,N,T,3,5,Nacional,Aerotaxi,No Regular,marzo
0EC,SAE,3/1/2025,2025,3,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,N,T,1,23,Nacional,Aerotaxi,No Regular,marzo
0EC,SAE,3/1/2025,2025,3,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,PCE,CUMARIBO,PUERTO CARRE¥O,COLOMBIA,N,T,12,251,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,BSC,BAH?A SOLANO - JOSE C. MUTIS,BAH?A SOLANO,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,N,T,2,0,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,CAQ,CAUCASIA- JUAN H. WHITE,CAUCASIA,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,N,T,10,350,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,COG,CONDOTO MANDINGA,CONDOTO,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,N,T,2,90,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,BSC,BAH?A SOLANO - JOSE C. MUTIS,BAH?A SOLANO,COLOMBIA,N,T,2,40,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,CAQ,CAUCASIA- JUAN H. WHITE,CAUCASIA,COLOMBIA,N,T,10,0,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,COG,CONDOTO MANDINGA,CONDOTO,COLOMBIA,N,T,2,0,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,PPN,GUILLERMO LEON VALENCIA,POPAY?N,COLOMBIA,N,T,4,0,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,UIB,QUIBD? - EL CARA¥O,QUIBD?,COLOMBIA,N,T,7,140,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,URR,URRAO,URRAO,COLOMBIA,N,T,4,60,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,VUP,ALFONSO LOPEZ PUMAREJO.,VALLEDUPAR,COLOMBIA,N,T,2,0,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,PPN,GUILLERMO LEON VALENCIA,POPAY?N,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,N,T,4,60,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,UIB,QUIBD? - EL CARA¥O,QUIBD?,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,N,T,7,95,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,URR,URRAO,URRAO,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,N,T,4,60,Nacional,Aerotaxi,No Regular,marzo
0ED,GOOD FLY CO SAS,3/1/2025,2025,3,VUP,ALFONSO LOPEZ PUMAREJO.,VALLEDUPAR,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELL?N,COLOMBIA,N,T,2,80,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,7IY,HATO SAN JOSE,LA PRIMAVERA,COLOMBIA,EYP,EL YOPAL,YOPAL,COLOMBIA,N,T,5,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,ACR,ARARACUARA,SOLANO,COLOMBIA,SJE,SAN JOS DEL GUAVIARE- JORGE E GONZ,SAN JOS DEL GUAVIARE,COLOMBIA,N,T,5,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,EYP,EL YOPAL,YOPAL,COLOMBIA,N,T,0,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,N,T,5,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,BMG,BARRANCOMINAS,BARRANCOMINAS,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,5,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,CRU,CARUR?,CARUR?,COLOMBIA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,N,T,3,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,CRU,CARUR?,CARUR?,COLOMBIA,SJE,SAN JOS DEL GUAVIARE- JORGE E GONZ,SAN JOS DEL GUAVIARE,COLOMBIA,N,T,15,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,EYP,EL YOPAL,YOPAL,COLOMBIA,7IY,HATO SAN JOSE,LA PRIMAVERA,COLOMBIA,N,T,5,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,EYP,EL YOPAL,YOPAL,COLOMBIA,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,N,T,1,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,EYP,EL YOPAL,YOPAL,COLOMBIA,EYP,EL YOPAL,YOPAL,COLOMBIA,N,T,0,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,EYP,EL YOPAL,YOPAL,COLOMBIA,RAV,CRAVO NORTE,CRAVO NORTE,COLOMBIA,N,T,5,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,EYP,EL YOPAL,YOPAL,COLOMBIA,SRO,SANTA ROSAL?A,SANTA ROSAL?A,COLOMBIA,N,T,2,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,EYP,EL YOPAL,YOPAL,COLOMBIA,VLA,AERODROMO DE VILLANUEVA CAPITAN RAF,VILLANUEVA - CASANARE,COLOMBIA,N,T,3,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,EYP,EL YOPAL,YOPAL,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,0,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,CRU,CARUR?,CARUR?,COLOMBIA,N,T,6,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,SJE,SAN JOS DEL GUAVIARE- JORGE E GONZ,SAN JOS DEL GUAVIARE,COLOMBIA,N,T,49,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,N,T,5,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,SRO,SANTA ROSAL?A,SANTA ROSAL?A,COLOMBIA,N,T,4,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,RAV,CRAVO NORTE,CRAVO NORTE,COLOMBIA,EYP,EL YOPAL,YOPAL,COLOMBIA,N,T,21,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,SJE,SAN JOS DEL GUAVIARE- JORGE E GONZ,SAN JOS DEL GUAVIARE,COLOMBIA,ACR,ARARACUARA,SOLANO,COLOMBIA,N,T,0,0,Nacional,Aerotaxi,No Regular,marzo
1AE,AERO APOYO,3/1/2025,2025,3,SJE,SAN JOS DEL GUAVIARE- JORGE E GONZ,SAN JOS DEL GUAVIARE,COLOMBIA,CRU,CARUR?,CARUR?,COLOMBIA,N,T,16,0,Nacional,Aerotaxi,No Regular,marzo
